昆明机场飞行动态,,,,,
,,,,,2017年07月02日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
512,MU2208,B1837,昆明/1810,/,西安
513,MU2245,B2372,西宁/1950,/,昆明
514,MU2246,B2372,昆明/2315,/,西宁
515,MU2249,B2209,兰州/0715,/,昆明
516,MU2250,B2209,昆明/1035,/,兰州
517,MU2263,B5515,昆明/0945,/,西安
518,MU2264,B5515,西安/2100,/,昆明
519,MU2359,B6876,西宁/0705,/,昆明
520,MU2360,B6876,昆明/1020,/,西宁
521,MU2361,B1813,西安/1815,/,昆明
522,MU2362,B1813,昆明/2130,/,西安
523,MU2433,B2333,宜昌/1700,/,昆明
524,MU2434,B2333,昆明/2020,/,宜昌
525,MU2493,B7393,武汉/1955,/,昆明
526,MU2494,B7393,昆明/1120,/,武汉
527,MU2497,B7393,武汉/0755,/,昆明
528,MU2498,B7393,昆明/2320,/,武汉
529,MU2561,B5256,昆明/1405,/,琅勃
530,MU2562,B5256,琅勃/1630,/,昆明
531,MU2565,B5259,昆明/1410,/,南宁
532,MU2566,B5259,南宁/2055,/,昆明
533,MU2567,B1908,广州/0630,昆明/1030,曼德勒
534,MU2568,B5527,曼德勒/1730,昆明/2200,广州
535,MU2569,B6148,北京/0800,昆明/1430,清迈
536,MU2570,B6143,清迈/0930,昆明/1600,北京
537,MU2573,B1703,北京/0910,昆明/1430,万象
538,MU2574,B1703,万象/1715,昆明/2030,北京
539,MU2589,B1792,昆明/0805,/,万象
540,MU2590,B1792,万象/1050,/,昆明
541,MU2591,B6007,昆明/0120,/,普吉
542,MU2594,B6148,清迈/1730,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
543,MU2595,B6143,昆明/0630,/,清迈
544,MU2705,B8017,南京/0730,昆明/1130,丽江
545,MU2706,B8017,丽江/1330,昆明/1535,南京
546,MU2725,B2411,南京/1225,/,昆明
547,MU2726,B2411,昆明/0830,/,南京
