FLT,VIP,LKF,RFC,ORG,VI1,TOF,REG,ITY,TAR,CAR,ABP,STA,ETA,TDT,ATA,FSA,SDT,OPE,POP,RCP,NAT,FLX,MFF,SST,HDL
"CZ6601","","CZ6602","郑州-昆明","CGO","","D","B5233","B737","","","","20:58","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"8L9656","","8L9945","哈尔滨-忻州-昆明","HRB","WUT","D","B7989","B738","","","","21:00","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"3U8930","","3U8662","沈阳-长沙-昆明","SHE","HHA","D","B6325","A320","","","","21:10","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU9732","","MU9732","拉萨-昆明","LXA","","D","B6141","B737","","","","21:15","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"FU6509","Y","FU6510","福州-昆明","FOC","","D","B7105","B737","","","","21:20","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU5738","","","广州-昆明","CAN","","D","B5796","B738","","","","21:25","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"SC4719","","SC4720","重庆-昆明","CKG","","D","B5348","B738","","","","21:30","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"ZH9455","","","广州-昆明","CAN","","D","B6935","A320","","","","21:30","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"HU7089","","HU7090","海口-昆明","HAK","","D","B5337","B738","","","","21:35","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"3U8902","","","珠海-昆明","ZUH","","D","B1822","A320","","","","21:40","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"DR6506","","DR6511","芒市-昆明","LUM","","D","B5830","B737","","","","21:40","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"KY8222","","","重庆-昆明","CKG","","D","B1926","B738","","","","21:40","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"3U8848","","3U8527","哈尔滨-郑州-昆明","HRB","CGO","D","B6953","A320","","","","21:50","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"GS7661","","GS7662","西安-昆明","XIY","","D","B1619","A320","","","","21:50","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"KY8342","","","南宁-厦门-昆明","NNG","XMN","D","B2669","B737","","","","22:00","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU5646","","MU5646","版纳-昆明","JHG","","D","B2229","A320","","","","22:00","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"8L9542","","8L9555","文山-昆明","WNH","","D","B5272","B737","","","","22:00","","","","33-计划","2017/6/30","REG","REG","","SPE","","","00","YAG"
"8L9903","","8L9906","版纳-昆明","JHG","","D","B5248","B737","","","","22:05","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"DR6578","","","沈阳-榆林-昆明","SHE","UYN","D","B5811","B737","","","","22:05","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"KE885","","KE886","首尔-昆明","ICN","","I","HL8245","B738","","","","22:05","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
