FLT,RFC,REG,VIP,LKF,VI1,ITY,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,STD,DES
MU5721,昆明-黔江-北京,B5276,,MU9756,JIQ,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 12:35,PEK
MU5723,昆明-西安,B7589,,MU5862,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,1,CES,2017/6/27 14:10,XIY
MU5724,昆明-版纳,B5809,,MU2576,,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 21:35,JHG
MU5725,昆明-乌鲁,B5819,,MU5846,,B737,503,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 14:25,URC
MU5731,昆明-广州,B8496,,MU5810,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 8:00,CAN
MU5732,昆明-西昌,B5245,Y,MU5882,,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 14:50,XIC
MU5733,昆明-广州,B6145,,MU5818,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 23:15,CAN
MU5734,昆明-版纳,B5817,,MU5734,,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 22:05,JHG
MU5737,昆明-广州,B5756,,MU5776,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 15:35,CAN
MU5739,昆明-广州,B5231,,MU5912,,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 11:05,CAN
MU5740,昆明-大理,B5242,,MU5892,,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 11:50,DLU
MU5741,昆明-广州,B1792,,MU5716,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 13:05,CAN
MU5742,昆明-保山,B5270,,MU5990,,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 19:55,BSD
MU5743,昆明-广州,B1703,,MU5852,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 13:35,CAN
MU5744,昆明-丽江,B5295,,MU2562,,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 21:15,LJG
MU5745,昆明-三亚,B6637,,MU5748,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 19:00,SYX
MU5747,昆明-天津,B6637,,MU2785,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 9:45,TSN
MU5748,昆明-版纳,B5263,,MU5964,,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 19:05,JHG
MU5749,昆明-长沙-盐城,B1791,,MU5717,HHA,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 13:15,YNZ
MU5757,昆明-深圳,B1790,,MU2590,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 14:00,SZX
MU5759,昆明-深圳,B7599,,MU5750,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 10:00,SZX
MU5760,昆明-大理,B5282,,MU5982,,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 17:05,DLU
MU5763,昆明-深圳,B1703,,MU5744,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 22:00,SZX
MU5764,昆明-芒市,B5817,,MU5811,,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 12:10,LUM
MU5771,昆明-广州,B7590,,MU5714,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 18:50,CAN
MU5775,昆明-广州,B5756,,MU5704,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 8:40,CAN
MU5781,昆明-厦门,B5701,,MU5844,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 16:35,XMN
MU5799,昆明-洛阳-大连,B5225,,MU5884,LYA,B737,712,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 8:45,DLC
MU5801,昆明-上海,B7592,,MU5824,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,1,CES,2017/6/27 8:00,SHA
MU5802,昆明-腾冲,B5822,,MU5719,,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 17:15,TCZ
MU5803,昆明-上海,B5243,,MU5715,,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 20:20,SHA
MU5805,昆明-上海,B5683,,MU2032,,B738,509,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 9:00,SHA
MU5809,昆明-上海,B8496,,MU5732,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 15:00,SHA
MU5811,昆明-上海,B7591,,MU5744,,B738,508,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 12:00,SHA
MU5812,昆明-迪庆,B5821,,MU5718,,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 20:50,DIG
MU5813,昆明-上海,B7599,,MU5760,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 17:30,SHA
MU5817,昆明-兴义-上海,B6145,,MU5848,ACX,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,1,CES,2017/6/27 9:35,SHA
MU5821,昆明-东胜-哈尔滨,B1907,,MU5782,DSN,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 8:20,HRB
MU5823,昆明-郑州,B1789,,MU2028,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 17:35,CGO
