FLT,VIP,LKF,RFC,VI1,DES,TOF,REG,ITY,STD,SDT,EAN,TAR,GAT,CID,MP1,ETD,ABT,ATD,FSA,POP,OPE,RCP,NAT,FLX,MFF,SST
3U8530,,3U8529,昆明-杭州,,HGH,D,B8470,A320,2017/6/24 13:05,2017/6/24,15:28,,,,,,,,33-计划,REG,REG,,PAX,,,0
3U8724,,3U8222,昆明-北京,,PEK,D,B8499,A320,2017/6/24 21:50,2017/6/24,0:40,,,,,,,,33-计划,REG,REG,,PAX,,,0
3U8221,,3U8723,昆明-南宁-福州,NNG,FOC,D,B8499,A320,2017/6/24 11:45,2017/6/24,12:48,,,,,,,,33-计划,REG,REG,,PAX,,,0
CZ3432,,CZ3431,昆明-海口,,HAK,D,B8548,A321,2017/6/24 10:55,2017/6/24,12:22,,,,,,,,33-计划,REG,REG,,PAX,,,0
EU2721,,EU2223,昆明-柳州-厦门,LZH,XMN,D,B8608,A320,2017/6/24 9:20,2017/6/24,10:30,,,,,,,,33-计划,REG,REG,,PAX,,,0
EU2225,,EU2722,昆明-版纳,,JHG,D,B8608,A320,2017/6/24 19:25,2017/6/24,20:12,,,,,,,,33-计划,REG,REG,,PAX,,,0
EU2224,,EU2226,昆明-成都,,CTU,D,B8608,A320,2017/6/24 23:25,2017/6/24,0:28,,,,,,,,33-计划,REG,REG,,PAX,,,0
CZ6598,,CZ6597,昆明-三亚,,SYX,D,B8640,A321,2017/6/24 21:05,2017/6/24,22:42,,,,,,,,33-计划,REG,REG,,PAX,,,0
GS7856,,GS7855,昆明-天津,,TSN,D,B8776,A330,2017/6/24 13:25,2017/6/24,16:17,,,,,,,,33-计划,REG,REG,,PAX,,,0
CZ6270,,CZ6269,昆明-西安-哈尔滨,XIY,HRB,D,B8847,A32E,2017/6/24 15:50,2017/6/24,17:36,,,,,,,,33-计划,REG,REG,,PAX,,,0
CZ6800,,CZ6799,昆明-上海,,PVG,D,B8848,A321,2017/6/24 19:45,2017/6/24,22:26,,,,,,,,33-计划,REG,REG,,PAX,,,0
3U8767,,3U8554,昆明-南宁-温州,NNG,WNZ,D,B8948,A320,2017/6/24 7:00,2017/6/24,8:00,314,,,,,,,33-计划,REG,REG,,PAX,,,0
GJ8882,,GJ8881,昆明-杭州,,HGH,D,B8983,A320,2017/6/24 21:25,2017/6/24,23:54,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2362,,MU2361,昆明-西安,,XIY,D,B9907,A320,2017/6/24 21:30,2017/6/24,23:22,,,,,,,,33-计划,REG,REG,,PAX,,,0
CA1938,,CA1937,昆明-上海,,PVG,D,B9922,A320,2017/6/24 20:25,2017/6/24,23:01,,,,,,,,33-计划,REG,REG,,PAX,,,0
OQ2358,,OQ2357,昆明-重庆,,CKG,D,B9976,A320,2017/6/24 22:00,2017/6/24,23:11,,,,,,,,33-计划,REG,REG,,PAX,,,1
OQ2328,,OQ2327,昆明-重庆,,CKG,D,B9976,A320,2017/6/24 9:50,2017/6/24,10:56,,,,,,,,33-计划,REG,REG,,PAX,,,1
9C8938,,9C8937,昆明-石家庄,,SJW,D,B9986,A320,2017/6/24 14:50,2017/6/24,17:26,,,,,,,,33-计划,REG,REG,,PAX,,,0
KA761,,KA760,昆明-香港,,HKG,R,BHSD,A320,2017/6/24 15:20,2017/6/24,,,,,,,,,33-计划,REG,REG,,PAX,,,1
UO274,,UO273,昆明-香港,,HKG,R,BLCF,A322,2017/6/24 12:10,2017/6/24,,,,,,,,,33-计划,REG,REG,,PAX,,,0
FD583,,FD582,昆明-廊曼,,DMK,I,HSBBE,A320,2017/6/24 12:30,2017/6/24,,,,,,,,,33-计划,REG,REG,,PAX,,,0
N577JF,,N577JF,昆明-深圳,,SZX,D,N577JF,FA7X,2017/6/24 12:00,2017/6/24,13:28,542,,,,,,,33-计划,REG,REG,,SPE,,,0
QV816,Y,QV815,昆明-万象,,VTE,I,RDPL34223,A320,2017/6/24 10:50,2017/6/24,12:04,312,,,,,,,33-计划,REG,REG,,PAX,,,0
VN737,,VN736,昆明-芽庄,,CXR,I,VNA,A321,2017/6/25 4:10,2017/6/25,6:20,,,,,,,,33-计划,REG,REG,,PAX,,,0
QG8816,,QG8815,昆明-巴厘岛,,DPS,I,,UNK,2017/6/25 2:15,2017/6/25,,,,,,,,,33-计划,REG,REG,,PAX,,,0
TG613,,TG612,昆明-曼谷,,BKK,I,,B747,2017/6/24 15:20,2017/6/24,17:17,,,,,,,,33-计划,REG,REG,,PAX,,,0
