FLT,RFC,LKF,VIP,REG,VI1,TOF,ITY,TAR,GAT,FSA,POP,SDT,RCP,NAT,FLX,MFF,SST,STD,DES,CID,MP1,ETD,ABT,ATD,EAN,STN
HU9995,昆明-银川,,,B7992,,D,B738,,,33-计划,CSF,2017/7/11,,PAX,,8L9995,SF,2017/7/11 6:40,INC,,,,,,2017/7/11 8:59,2017/7/11 9:20
JD5156,昆明-丽江,JD5155,,B6403,,D,A319,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 16:05,LJG,,,,,,2017/7/11 16:58,2017/7/11 17:10
JD5158,昆明-杭州,JD5157,,B1691,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 14:30,HGH,,,,,,2017/7/11 16:54,2017/7/11 17:20
JD5166,昆明-丽江,JD5792,,B6178,,D,A319,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 15:50,LJG,,,,,,2017/7/11 16:41,2017/7/11 16:55
JD5790,昆明-版纳,JD5789,,B1622,,D,A320,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 12:20,JHG,,,,,,2017/7/11 13:07,2017/7/11 13:25
JD5791,昆明-芒市,JD5165,,B6178,,D,A319,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 11:45,LUM,,,,,,2017/7/11 12:35,2017/7/11 12:40
KA761,昆明-香港,KA760,,BHLB,,R,A330,,,33-计划,REG,2017/7/11,,PAX,,,1,2017/7/11 15:20,HKG,K04-K10,,,,,,2017/7/11 17:45
KL4285,昆明-成都,,,B7170,,D,B738,,,33-计划,CSF,2017/7/11,,PAX,,MU5841,SF,2017/7/11 8:00,CTU,,,,,,2017/7/11 9:05,2017/7/11 9:35
KN2382,昆明-石家庄,KN5211,,B5547,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 20:55,SJW,,,,,,2017/7/11 23:32,2017/7/12 0:05
KN5212,昆明-汉中-南苑,KN2381,,B1990,HZG,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 11:10,NAY,,,,,,2017/7/11 12:42,2017/7/11 13:10
KY8203,昆明-南京,KY8220,,B5673,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 12:00,NKG,,,,,,2017/7/11 14:20,2017/7/11 14:50
KY8205,昆明-济南-哈尔滨,KY8342,,B5025,TNA,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 9:05,HRB,,,,,,2017/7/11 11:43,2017/7/11 12:10
KY8209,昆明-版纳,KY8252,,B7871,,D,B737,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 12:55,JHG,,,,,,2017/7/11 13:44,2017/7/11 14:05
KY8219,昆明-深圳,KY8204,,B5673,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 21:25,SZX,,,,,,2017/7/11 23:10,2017/7/11 23:35
KY8221,昆明-重庆,KY8274,,B6495,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 17:25,CKG,,,,,,2017/7/11 18:41,2017/7/11 19:00
