FLT,VIP,LKF,RFC,VI1,DES,TOF,REG,ITY,TAR,GAT,CID,MP1,STD,ETD,ATD,ABT,FSA,RCP,SDT,EAN,POP,OPE,NAT,FLX,MFF,SST
"KY8245","","KY8252","昆明-芒市","","LUM","D","B7870","B737","","","D01-E10","","13:10","","","","33-计划","","2017/6/28","14:03","REG","REG","PAX","","","00"
"MU5749","","MU5717","昆明-长沙-盐城","HHA","YNZ","D","B6147","B738","","","E11-H20","","13:15","","","","33-计划","","2017/6/28","14:53","REG","REG","PAX","","","00"
"MU5919","","MU5942","昆明-丽江","","LJG","D","B5820","B737","","","E11-H20","","13:15","","","","33-计划","","2017/6/28","14:09","REG","REG","PAX","","","00"
"MU5703","","MU5854","昆明-济宁-北京","JNG","PEK","D","B5683","B738","515","","E11-H20","","13:20","","","","33-计划","","2017/6/28","15:59","REG","REG","PAX","","","00"
"TV6008","","TV6007","昆明-丽江-兰州","LJG","ZGC","D","B8419","A320","","","D01-E10","","13:20","","","","33-计划","","2017/6/28","14:14","REG","REG","PAX","","","00"
"CA4414","","CA4413","昆明-成都","","CTU","D","B6822","A320","","","D01-E10","","13:25","","","","33-计划","","2017/6/28","14:29","REG","REG","PAX","","","00"
"GS7856","","GS7855","昆明-天津","","TSN","D","B8776","A330","","","D01-E10","","13:25","","","","33-计划","","2017/6/28","16:18","REG","REG","PAX","","","00"
"DR6515","","DR6510","昆明-襄阳-天津","XFN","TSN","D","B5829","B737","","","D01-E10","","13:30","","","","33-计划","","2017/6/28","15:22","REG","REG","PAX","","","00"
"ZH9774","","ZH9773","昆明-南昌","","KHN","D","B6316","A320","","","D01-E10","","13:30","","","","33-计划","","2017/6/28","15:25","REG","REG","PAX","","","00"
"MU5743","","MU5750","昆明-广州","","CAN","D","B1791","B738","707","","E11-H20","","13:35","","","","33-计划","","2017/6/28","15:19","REG","REG","PAX","","","00"
