FLT,VIP,LKF,REG,RFC,VI1,DES,TOF,ITY,TAR,GAT,CID,MP1,STD,ETD,ATD,ABT,FSA,RCP,SDT,EAN,POP,OPE,NAT,FLX,MFF,SST,STN
"8L9861","","8L9892","B6015","昆明-合肥","","HFE","D","B738","523L","","","","7:15","","","","33-计划","","2017/7/1","9:24","REG","REG","PAX","","","00","9:55"
"8L9893","","8L9992","B1588","昆明-珠海","","ZUH","D","B738","321","","","","7:15","","","","33-计划","","2017/7/1","8:58","REG","REG","PAX","","","00","9:05"
"3U8865","","3U8848","B6953","昆明-宁波","","NGB","D","A320","536","","","","7:20","","","","33-计划","","2017/7/1","9:48","REG","REG","PAX","","","00","10:25"
"CA4171","","CA4417","B6822","昆明-北京","","PEK","D","A320","135","48","","","7:20","","","","33-计划","","2017/7/1","10:16","REG","REG","PAX","","","00","10:45"
"CA4175","","CA4174","B8490","昆明-沈阳","","SHE","D","A320","137","52","","","7:20","","","","33-计划","","2017/7/1","10:57","REG","REG","PAX","","","00","11:20"
"DR6533","","DR6562","B7865","昆明-武汉","","WUH","D","B738","158","02","","","7:20","","","","33-计划","","2017/7/1","9:09","REG","REG","PAX","","","00","9:40"
"DR6569","","DR6560","B1593","昆明-北海","","BHY","D","B738","156","15","","","7:20","","","","33-计划","","2017/7/1","8:37","REG","REG","PAX","","","00","8:55"
"KY8315","","KY8250","B7872","昆明-腾冲","","TCZ","D","B737","325","","","","7:20","","","","33-计划","","2017/7/1","8:13","REG","REG","PAX","","","00","8:35"
"SC8886","","SC8886","B6986","昆明-乌鲁","","URC","D","B738","109","","","","7:25","","","","33-计划","","2017/7/1","11:25","REG","REG","PAX","","","00","11:45"
"3U8669","","3U8222","B1881","昆明-成都-石家庄","CTU","SJW","D","A320","534","","","","7:30","","","","33-计划","","2017/7/1","8:30","REG","REG","PAX","","","00","9:05"
"3U8817","","3U8818","B6433","昆明-丽江-拉萨","LJG","LXA","D","A319","535","","","","7:30","","","","33-计划","","2017/7/1","8:19","REG","REG","PAX","","","00","8:30"
"GJ8662","","GJ8690","B8335","昆明-贵阳-杭州","KWE","HGH","D","A320","723","","","","7:30","","","","33-计划","","2017/7/1","8:22","REG","REG","PAX","","","00","8:45"
"CZ3420","","","B6020","昆明-广州","","CAN","D","A319","315","","","","7:35","","","","33-计划","","2017/7/1","9:14","REG","REG","PAX","","","00","9:40"
"DR6529","","DR5340","B1597","昆明-太原-呼和","TYN","HET","D","B738","157","01","","","7:35","","","","33-计划","","2017/7/1","10:00","REG","REG","PAX","","","00","10:25"
"MU2766","","MU2995","B6893","昆明-南京-长春","NKG","CGQ","D","A320","317","","","","7:35","","","","33-计划","","2017/7/1","9:57","REG","REG","PAX","","","00","10:30"
"8L9897","","8L9986","B6198","昆明-温州","","WNZ","D","A319","159","05","","","7:40","","","","33-计划","","2017/7/1","10:09","REG","REG","PAX","","","00","10:40"
"HO1094","","HO1093","B6311","昆明-上海","","SHA","D","A320","722a","","","","7:40","","","","33-计划","","2017/7/1","10:24","REG","REG","PAX","","","00","10:50"
"KY8283","","KY8240","B7873","昆明-上海","","PVG","D","B738","146","57","","","7:40","","","","33-计划","","2017/7/1","10:27","REG","REG","PAX","","","00","10:50"
"MU5943","","MU5984","B5231","昆明-大理","","DLU","D","B737","505","","","","7:40","","","","33-计划","","2017/7/1","8:24","REG","REG","PAX","","","00","8:30"
"3U8597","","3U8202","B8500","昆明-太原-哈尔滨","TYN","HRB","D","A320","149","51","","","7:45","","","","33-计划","","2017/7/1","10:06","REG","REG","PAX","","","00","10:45"
"MU2996","","MU2785","B2291","昆明-重庆-无锡","CKG","WUX","D","A321","115","18","","","7:45","","","","33-计划","","2017/7/1","8:59","REG","REG","PAX","","","00","9:20"
"3U8807","","3U8108","B1661","昆明-徐州-沈阳","XUZ","SHE","D","A320","151","47","","","7:50","","","","33-计划","","2017/7/1","10:12","REG","REG","PAX","","","00","10:50"
"MU747","","MU748","B1788","昆明-上海-大阪","PVG","KIX","M","B738","133","34","J01-J01","","7:50","","","","33-计划","","2017/7/1","10:37","REG","REG","PAX","","","00","11:00"
"CZ3541","","CZ3542","B1921","昆明-武汉-杭州","WUH","HGH","D","B738","138","54","","","7:55","","","","33-计划","","2017/7/1","9:40","REG","REG","PAX","","","00","10:05"
"KY8251","","KY8210","B7870","昆明-保山","","BSD","D","B737","143","63","","","7:55","","","","33-计划","","2017/7/1","8:44","REG","REG","PAX","","","00","9:00"
"MU5931","","MU5912","B5807","昆明-迪庆","","DIG","D","B737","108","","","","7:55","","","","33-计划","","2017/7/1","8:57","REG","REG","PAX","","","00","8:55"
"KY8313","","KY8270","B1459","昆明-腾冲","","TCZ","D","B737","145","59","","","8:00","","","","33-计划","","2017/7/1","8:53","REG","REG","PAX","","","00","9:00"
"MU5731","","MU5814","B7589","昆明-广州","","CAN","D","B738","116","26","","","8:00","","","","33-计划","","2017/7/1","9:43","REG","REG","PAX","","","00","10:15"
"MU5801","","MU5714","B7591","昆明-上海","","SHA","D","B738","120","31","","","8:00","","","","33-计划","","2017/7/1","10:41","REG","REG","PAX","","","00","11:20"
"MU5841","","MU2594","B5515","昆明-成都","","CTU","D","B738","507","","","","8:00","","","","33-计划","","2017/7/1","9:05","REG","REG","PAX","","","00","9:35"
"MU5869","","MU5930","B2502","昆明-宜宾-青岛","YBP","TAO","D","B737","714","","","","8:00","","","","33-计划","","2017/7/1","8:54","REG","REG","PAX","","","00","9:30"
