FLT,RFC,REG,VIP,LKF,VI1,ITY,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,STA,ORG,ETA,TDT,ATA,ABP,CAR,STP
ZH9265,西安-昆明,B6297,,ZH9266,,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 11:05,XIY,,,,,15,2017/6/29 8:35
ZH9411,深圳-昆明,B6312,,ZH9412,,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 9:40,SZX,,,,,11,2017/6/29 7:10
ZH9413,深圳-昆明,B5401,,ZH9414,,B738,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 16:30,SZX,,,,,15,2017/6/29 14:05
ZH9415,深圳-昆明,B5401,,,,B738,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 22:35,SZX,,,,,11,2017/6/29 20:05
ZH9451,广州-昆明,B5381,,,,B737,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 22:45,CAN,,,,,11,2017/6/29 20:05
ZH9455,广州-昆明,B5772,,ZH9456,,B738,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 21:30,CAN,,,,,11,2017/6/29 18:50
ZH9531,无锡-昆明,B5773,,ZH9532,,B738,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 18:15,WUX,,,,,12,2017/6/29 15:10
ZH9533,无锡-昆明,B6569,,ZH9534,,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 14:05,WUX,,,,,10,2017/6/29 11:05
ZH9561,南京-昆明,B5400,,ZH9562,,B738,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 11:10,NKG,,,,,15,2017/6/29 8:20
ZH9714,沈阳-太原-昆明,B9909,,,TYN,A322,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 23:25,SHE,,,,,14,2017/6/29 20:20
ZH9773,南昌-昆明,B6939,,ZH9774,,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 12:25,KHN,,,,,12,2017/6/29 9:55
ZH9789,泉州-昆明,B6833,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 16:45,JJN,,,,,13,2017/6/29 14:05
ZH9793,泉州-昆明,B6750,,ZH9794,,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 12:40,JJN,,,,,13,2017/6/29 10:00
